file,subject,label,start_frame,duration_s,frames,delayed,frame_rate,sweeps,markers_s,notes
nishant_noisy_20260919-181623.h5,nishant,noisy,103,180.3,3601,0,20.0,8,,
nishant_sleeping_20260919-182058.h5,nishant,sleeping,101,180.0,3602,0,20.0,8,,
nishant_breath-hold_20260919-182741.h5,nishant,breath-hold,102,180.1,3603,0,20.0,8,14.3 41.4 73.2 116.4,
vishnu_sleeping_20260919-183707.h5,vishnu,sleeping,100,180.0,3602,0,20.0,8,,
justinas_sleeping_20260919-184132.h5,justinas,sleeping,99,180.1,3602,0,20.0,8,,
justinas_sleeping_20260919-184458.h5,justinas,sleeping,100,180.2,3600,0,20.0,8,,
justinas_breath-hold_20260919-185023.h5,justinas,breath-hold,101,180.1,3603,0,20.0,8,4.6 32.8 67.3 114.0,
justinas_talking_20260919-185444.h5,justinas,talking,102,180.2,3604,0,20.0,8,,
nishant_breath-hold_20260919-202401.h5,nishant,breath-hold,98,180.0,3601,0,20.0,8,30.0 60.0 90.0 120 149.8 179,
nishant_breath-hold_20260919-203008.h5,nishant,breath-hold,98,180.0,3600,0,20.0,8,30.0 60.0 90.0 120 149.8 179,
justinas_breath-hold_20260919-203515.h5,justinas,breath-hold,103,180.2,3602,0,20.0,8,30.2 60.1 90.0 120.2 151.9,
wall_static_20260919-212928.h5,wall,static,103,180.1,3596,0,20.0,8,,
nishant_demo_20260920-090339.h5,nishant,demo,0,42.3,849,0,20.0,8,,recorded from visualize.py
nishant_demo_20260920-090443.h5,nishant,demo,0,106.2,2125,0,20.0,8,,recorded from visualize.py
nishant_demo_20260920-092229.h5,nishant,demo,0,66.2,1327,0,20.0,8,,recorded from visualize.py
